group,parameter,value,units,notes,source_reference
humpback,max_thickness_m,0.1,m,"Humpback blubber 8-15cm thick at mid-body, thinner at extremities",See docs/thermoregulation_references.md for URLs and supporting sources.; Marine mammal blubber thermal conductivity measurements (k≈0.18–0.20 W/m·K).; Layered blubber conductivity ranges (~0.12–0.28 W/m·K).; Generic tissue thermal properties used as priors in bioheat models.
humpback,girth_multiplier,1.5,ratio,"Humpback blubber 8-15cm thick at mid-body, thinner at extremities",See docs/thermoregulation_references.md for URLs and supporting sources.; Marine mammal blubber thermal conductivity measurements (k≈0.18–0.20 W/m·K).; Layered blubber conductivity ranges (~0.12–0.28 W/m·K).; Generic tissue thermal properties used as priors in bioheat models.
humpback,rostrum_multiplier,0.4,ratio,"Humpback blubber 8-15cm thick at mid-body, thinner at extremities",See docs/thermoregulation_references.md for URLs and supporting sources.; Marine mammal blubber thermal conductivity measurements (k≈0.18–0.20 W/m·K).; Layered blubber conductivity ranges (~0.12–0.28 W/m·K).; Generic tissue thermal properties used as priors in bioheat models.
humpback,peduncle_multiplier,0.6,ratio,"Humpback blubber 8-15cm thick at mid-body, thinner at extremities",See docs/thermoregulation_references.md for URLs and supporting sources.; Marine mammal blubber thermal conductivity measurements (k≈0.18–0.20 W/m·K).; Layered blubber conductivity ranges (~0.12–0.28 W/m·K).; Generic tissue thermal properties used as priors in bioheat models.
right_whale,max_thickness_m,0.18,m,Right whales have exceptionally thick blubber (15-25cm),See docs/thermoregulation_references.md for URLs and supporting sources.; Marine mammal blubber thermal conductivity measurements (k≈0.18–0.20 W/m·K).; Layered blubber conductivity ranges (~0.12–0.28 W/m·K).; Generic tissue thermal properties used as priors in bioheat models.
right_whale,girth_multiplier,1.5,ratio,Right whales have exceptionally thick blubber (15-25cm),See docs/thermoregulation_references.md for URLs and supporting sources.; Marine mammal blubber thermal conductivity measurements (k≈0.18–0.20 W/m·K).; Layered blubber conductivity ranges (~0.12–0.28 W/m·K).; Generic tissue thermal properties used as priors in bioheat models.
right_whale,rostrum_multiplier,0.5,ratio,Right whales have exceptionally thick blubber (15-25cm),See docs/thermoregulation_references.md for URLs and supporting sources.; Marine mammal blubber thermal conductivity measurements (k≈0.18–0.20 W/m·K).; Layered blubber conductivity ranges (~0.12–0.28 W/m·K).; Generic tissue thermal properties used as priors in bioheat models.
right_whale,peduncle_multiplier,0.7,ratio,Right whales have exceptionally thick blubber (15-25cm),See docs/thermoregulation_references.md for URLs and supporting sources.; Marine mammal blubber thermal conductivity measurements (k≈0.18–0.20 W/m·K).; Layered blubber conductivity ranges (~0.12–0.28 W/m·K).; Generic tissue thermal properties used as priors in bioheat models.
gray_whale,max_thickness_m,0.12,m,Gray whale blubber 10-15cm at mid-body,See docs/thermoregulation_references.md for URLs and supporting sources.; Marine mammal blubber thermal conductivity measurements (k≈0.18–0.20 W/m·K).; Layered blubber conductivity ranges (~0.12–0.28 W/m·K).; Generic tissue thermal properties used as priors in bioheat models.
gray_whale,girth_multiplier,1.4,ratio,Gray whale blubber 10-15cm at mid-body,See docs/thermoregulation_references.md for URLs and supporting sources.; Marine mammal blubber thermal conductivity measurements (k≈0.18–0.20 W/m·K).; Layered blubber conductivity ranges (~0.12–0.28 W/m·K).; Generic tissue thermal properties used as priors in bioheat models.
gray_whale,rostrum_multiplier,0.45,ratio,Gray whale blubber 10-15cm at mid-body,See docs/thermoregulation_references.md for URLs and supporting sources.; Marine mammal blubber thermal conductivity measurements (k≈0.18–0.20 W/m·K).; Layered blubber conductivity ranges (~0.12–0.28 W/m·K).; Generic tissue thermal properties used as priors in bioheat models.
gray_whale,peduncle_multiplier,0.65,ratio,Gray whale blubber 10-15cm at mid-body,See docs/thermoregulation_references.md for URLs and supporting sources.; Marine mammal blubber thermal conductivity measurements (k≈0.18–0.20 W/m·K).; Layered blubber conductivity ranges (~0.12–0.28 W/m·K).; Generic tissue thermal properties used as priors in bioheat models.
balaenoptera,max_thickness_m,0.08,m,"Rorquals (blue, fin, sei, minke) have thinner blubber (5-12cm) due to streamlined body",See docs/thermoregulation_references.md for URLs and supporting sources.; Marine mammal blubber thermal conductivity measurements (k≈0.18–0.20 W/m·K).; Layered blubber conductivity ranges (~0.12–0.28 W/m·K).; Generic tissue thermal properties used as priors in bioheat models.
balaenoptera,girth_multiplier,1.3,ratio,"Rorquals (blue, fin, sei, minke) have thinner blubber (5-12cm) due to streamlined body",See docs/thermoregulation_references.md for URLs and supporting sources.; Marine mammal blubber thermal conductivity measurements (k≈0.18–0.20 W/m·K).; Layered blubber conductivity ranges (~0.12–0.28 W/m·K).; Generic tissue thermal properties used as priors in bioheat models.
balaenoptera,rostrum_multiplier,0.35,ratio,"Rorquals (blue, fin, sei, minke) have thinner blubber (5-12cm) due to streamlined body",See docs/thermoregulation_references.md for URLs and supporting sources.; Marine mammal blubber thermal conductivity measurements (k≈0.18–0.20 W/m·K).; Layered blubber conductivity ranges (~0.12–0.28 W/m·K).; Generic tissue thermal properties used as priors in bioheat models.
balaenoptera,peduncle_multiplier,0.55,ratio,"Rorquals (blue, fin, sei, minke) have thinner blubber (5-12cm) due to streamlined body",See docs/thermoregulation_references.md for URLs and supporting sources.; Marine mammal blubber thermal conductivity measurements (k≈0.18–0.20 W/m·K).; Layered blubber conductivity ranges (~0.12–0.28 W/m·K).; Generic tissue thermal properties used as priors in bioheat models.
