species,sp,T_water_C,Q_met_W,Q_surface_W,F_art_W,E_met_Mcal,E_surface_Mcal,E_art_Mcal,eta,core_temp_C
Blue whale,blue_whale,-2.0,9532.0,64881.93101203856,55349.93101203856,196.83671128107073,1339.8180782600698,1142.9813669789992,0.14691301339707935,35.86261287182151
Blue whale,blue_whale,0.0,9532.0,62185.16090862788,52653.16090862788,196.83671128107073,1284.1295178072296,1087.2928065261588,0.15328415751799532,35.87640474610606
Blue whale,blue_whale,5.0,9532.0,59425.90557398132,49893.90557398132,196.83671128107073,1227.1506313556372,1030.3139200745663,0.1604014260772735,35.92558268937199
Blue whale,blue_whale,10.0,9532.0,64551.94447404129,55019.94447404129,196.83671128107073,1333.0038247029559,1136.167113421885,0.1476640258889981,35.976744985697565
Blue whale,blue_whale,15.0,9532.0,61228.44545513184,51696.44545513184,196.83671128107073,1264.373252228344,1067.5365409472731,0.15567927503540888,35.9973020761106
Blue whale,blue_whale,20.0,9532.0,48260.87354751245,38728.87354751245,196.83671128107073,996.5916526063755,799.7549413253048,0.19750989361217886,36.00613172203589
Blue whale,blue_whale,25.0,9532.0,33358.981671673784,23826.981671673784,196.83671128107073,688.8661607152521,492.0294494341814,0.2857401372085029,36.01338706854597
Blue whale,blue_whale,28.0,9532.0,24288.538738664247,14756.538738664247,196.83671128107073,501.5606469934491,304.72393571237836,0.39244847549541034,36.01765278686912
Blue whale,blue_whale,30.0,9532.0,18231.867455044394,8699.867455044394,196.83671128107073,376.48980595502763,179.6530946739569,0.5228208258700722,36.020491255420836
Bowhead,bowhead,-2.0,8096.0,20100.57177380333,12004.57177380333,167.1831739961759,415.0787287898202,247.8955547936443,0.40277461214070304,33.90684332628729
Bowhead,bowhead,0.0,8096.0,21944.127052160977,13848.127052160977,167.1831739961759,453.14832153602015,285.9651475398442,0.36893698166966893,33.92131412442416
Bowhead,bowhead,5.0,8096.0,22864.409103644302,14768.409103644302,167.1831739961759,472.1522338802265,304.9690598840506,0.35408743621148725,33.93330199295184
Bowhead,bowhead,10.0,8096.0,19690.634879064724,11594.634879064724,167.1831739961759,406.6134927225603,239.43031872638437,0.411159927027429,33.93717458371259
Bowhead,bowhead,15.0,8096.0,15652.44600093185,7556.44600093185,167.1831739961759,323.22450632899427,156.0413323328183,0.5172354531373572,33.940378247206354
Bowhead,bowhead,20.0,8096.0,11506.159546350373,3410.1595463503727,167.1831739961759,237.6032946473882,70.42012065121229,0.7036231304969139,33.94354163798556
Bowhead,bowhead,25.0,8096.0,7347.961633243531,-748.0383667564693,167.1831739961759,151.73611020847062,-15.447063787705291,1.1018021601218229,33.946705660053624
Bowhead,bowhead,28.0,8096.0,4852.341554898339,-3243.6584451016606,167.1831739961759,100.20131700363685,-66.98185699253906,1.6684728204730876,33.948604560224226
Bowhead,bowhead,30.0,8096.0,3188.5843837974007,-4907.415616202599,167.1831739961759,65.84457236139947,-101.33860163477642,2.5390577841186626,33.94987057809851
Fin whale,fin_whale,-2.0,7295.0,38801.71896401676,31506.718964016763,150.64244741873804,801.2592061403079,650.6167587215699,0.1880071346005342,35.91382800175296
Fin whale,fin_whale,0.0,7295.0,37508.92967528901,30213.929675289008,150.64244741873804,774.5629837344575,623.9205363157195,0.19448702117474623,35.934213628838506
Fin whale,fin_whale,5.0,7295.0,37503.35260994148,30208.35260994148,150.64244741873804,774.4478168018508,623.8053693831127,0.1945159430377492,36.002965761721725
Fin whale,fin_whale,10.0,7295.0,39592.676351691975,32297.676351691975,150.64244741873804,817.5925518131421,666.9501043944041,0.18425124725593983,36.058755772799884
Fin whale,fin_whale,15.0,7295.0,34949.19869042013,27654.198690420133,150.64244741873804,721.7042941807599,571.0618467620219,0.20873153815682818,36.08156927222734
Fin whale,fin_whale,20.0,7295.0,27085.45788138067,19790.45788138067,150.64244741873804,559.3172946824307,408.67484726369264,0.2693327183888885,36.09569163780435
Fin whale,fin_whale,25.0,7295.0,18732.774969645612,11437.774969645612,150.64244741873804,386.8335940194505,236.19114660071244,0.3894244185295953,36.10873498880267
Fin whale,fin_whale,28.0,7295.0,13690.111753934101,6395.111753934101,150.64244741873804,282.7021165248342,132.05966910609618,0.5328663586623864,36.116499305096966
Fin whale,fin_whale,30.0,7295.0,10326.019719195283,3031.019719195283,150.64244741873804,213.23329439256034,62.59084697382229,0.7064677579918961,36.12167145690444
Gray whale,gray_whale,-2.0,3383.0,11848.053092855038,8465.053092855038,69.85927342256214,244.66342906851705,174.8041556459549,0.28553214384565145,35.87325312732992
Gray whale,gray_whale,0.0,3383.0,11535.839065881502,8152.839065881502,69.85927342256214,238.2161795631362,168.35690614057404,0.2932599857435243,35.90226144575939
Gray whale,gray_whale,5.0,3383.0,12073.814311554403,8690.814311554403,69.85927342256214,249.32541981794944,179.46614639538728,0.28019314466038586,35.997765585118884
Gray whale,gray_whale,10.0,3383.0,13391.998520589346,10008.998520589346,69.85927342256214,276.5460497559559,206.68677633339377,0.2526135285035204,36.06069635684747
Gray whale,gray_whale,15.0,3383.0,11973.657003283253,8590.657003283253,69.85927342256214,247.2571618268817,177.3978884043196,0.2825369057316708,36.08158431521474
Gray whale,gray_whale,20.0,3383.0,9287.207659788635,5904.207659788635,69.85927342256214,191.78172605299667,121.92245263043453,0.3642644941221216,36.0936377735747
Gray whale,gray_whale,25.0,3383.0,6410.215077288041,3027.2150772880414,69.85927342256214,132.3715541772674,62.51228075470525,0.5277514029109988,36.104678505438244
Gray whale,gray_whale,28.0,3383.0,4671.951432002719,1288.9514320027192,69.85927342256214,96.47624372013264,26.616970297570493,0.7241085549020388,36.11124770076674
Gray whale,gray_whale,30.0,3383.0,3512.2082848734717,129.2082848734717,69.85927342256214,72.52743685780783,2.6681634352456873,0.9632116678757489,36.115623768005435
Humpback,humpback,-2.0,3864.0,25894.666423754083,22030.666423754083,79.79196940726577,534.7273372400462,454.9353678327803,0.14921991798494139,35.599141817672034
Humpback,humpback,0.0,3864.0,24538.34879354925,20674.34879354925,79.79196940726577,506.71924850923875,426.927279101973,0.15746780814427846,35.62482195326345
Humpback,humpback,5.0,3864.0,21153.726159388807,17289.726159388807,79.79196940726577,436.82646753613597,357.0344981288702,0.18266285433051302,35.689206269542694
Humpback,humpback,10.0,3864.0,17811.1625442063,13947.162544206301,79.79196940726577,367.8022093258663,288.01023991860046,0.2169426049765011,35.754835175659935
Humpback,humpback,15.0,3864.0,14706.536282081132,10842.536282081132,79.79196940726577,303.6913802035874,223.89941079632166,0.26274031667864645,35.82654796603987
Humpback,humpback,20.0,3864.0,12620.965696093353,8756.965696093353,79.79196940726577,260.62414821760655,180.83217881034076,0.30615723812608475,35.913162520719936
Humpback,humpback,25.0,3864.0,11655.139999279734,7791.139999279734,79.79196940726577,240.67975524325263,160.88778583598688,0.33152754923911576,35.985867692827924
Humpback,humpback,28.0,3864.0,9727.149300218354,5863.149300218354,79.79196940726577,200.86656298730063,121.07459358003484,0.39723868532718637,36.00843467042802
Humpback,humpback,30.0,3864.0,7660.649312236934,3796.649312236934,79.79196940726577,158.19314067334395,78.40117126607818,0.5043958863679794,36.018853646741036
Minke$^{\dagger}$,minke,-2.0,3118.0,5701.191128470066,2583.1911284700664,64.38699808795411,117.73014184985988,53.34314376190577,0.5469032575367677,34.698263413277914
Minke$^{\dagger}$,minke,0.0,3118.0,5435.030987255753,2317.0309872557527,64.38699808795411,112.2339094882641,47.84691140031,0.5736857816102969,34.7431220177794
Minke$^{\dagger}$,minke,5.0,3118.0,4972.205914091875,1854.2059140918745,64.38699808795411,102.6765274802911,38.28952939233699,0.6270858556286225,34.86922079294544
Minke$^{\dagger}$,minke,10.0,3118.0,4912.991911127634,1794.991911127634,64.38699808795411,101.453752658085,37.06675457013087,0.6346438293411222,34.99026037016523
Minke$^{\dagger}$,minke,15.0,3118.0,4418.203795780366,1300.203795780366,64.38699808795411,91.23633077328479,26.84933268533069,0.705716654124888,35.06276847971344
Minke$^{\dagger}$,minke,20.0,3118.0,3414.3500664827634,296.3500664827634,64.38699808795411,70.50665529256949,6.119657204615382,0.9132045453124719,35.11780336280077
Minke$^{\dagger}$,minke,25.0,3118.0,2307.29644333622,-810.7035566637801,64.38699808795411,47.64589213772692,-16.7411059502272,1.351365148160827,35.171217621004075
Minke$^{\dagger}$,minke,28.0,3118.0,1636.236897107654,-1481.763102892346,64.38699808795411,33.78844835327469,-30.598549734679423,1.9055920359158454,35.203259253686156
Minke$^{\dagger}$,minke,30.0,3118.0,1188.3621386558918,-1929.6378613441082,64.38699808795411,24.539791773391265,-39.84720631456285,2.623779316569815,35.22462956300831
Right whale,right_whale,-2.0,6498.0,16033.571875111315,9535.571875111315,134.18432122370936,331.0947920673082,196.91047084359886,0.4052746356591168,35.90003209316677
Right whale,right_whale,0.0,6498.0,15568.286487861806,9070.286487861806,134.18432122370936,321.48660433825523,187.3022831145459,0.41738697480074793,35.92092569289741
Right whale,right_whale,5.0,6498.0,15998.456520392336,9500.456520392336,134.18432122370936,330.3696566352528,196.18533541154346,0.40616418163323215,35.987938728478696
Right whale,right_whale,10.0,6498.0,17398.99766394757,10900.997663947572,134.18432122370936,359.29096514461526,225.10664392090587,0.3734697897836088,36.032294676878166
Right whale,right_whale,15.0,6498.0,15482.280855461144,8984.280855461144,134.18432122370936,319.7105798068458,185.52625858313644,0.4197056015624421,36.04820666623306
Right whale,right_whale,20.0,6498.0,12002.311745059593,5504.311745059593,134.18432122370936,247.84888498402216,113.66456376031282,0.5413957025966031,36.05809552036385
Right whale,right_whale,25.0,6498.0,8286.064703091022,1788.0647030910222,134.18432122370936,171.10802828562723,36.92370706191786,0.7842082137707657,36.067295994960034
Right whale,right_whale,28.0,6498.0,6041.33963189228,-456.6603681077204,134.18432122370936,124.75424096450597,-9.430080259203404,1.0755892560148426,36.07277933145758
Right whale,right_whale,30.0,6498.0,4543.740750107187,-1954.2592498928134,134.18432122370936,93.82868088175452,-40.355640341954846,1.4300991974171748,36.07643269135565
Sei whale,sei_whale,-2.0,2866.0,18070.27586344063,15204.275863440631,59.18317399617591,373.152924139883,313.9697501437071,0.15860300206032968,35.68148044013981
Sei whale,sei_whale,0.0,2866.0,17242.56947882117,14376.56947882117,59.18317399617591,356.0607081668616,296.8775341706857,0.16621652611116178,35.7158330581625
Sei whale,sei_whale,5.0,2866.0,15835.946918506266,12969.946918506266,59.18317399617591,327.01381782001465,267.8306438238388,0.18098065210427827,35.82589561848596
Sei whale,sei_whale,10.0,2866.0,15828.52282146325,12962.52282146325,59.18317399617591,326.8605095063157,267.67733551013976,0.18106553797387492,35.94408149521297
Sei whale,sei_whale,15.0,2866.0,14427.845433677488,11561.845433677488,59.18317399617591,297.93638754056764,238.75321354439174,0.19864365841556497,36.010325174463844
Sei whale,sei_whale,20.0,2866.0,11315.235329141191,8449.235329141191,59.18317399617591,233.66069130922534,174.47751731304945,0.25328682229161603,36.05259582503237
Sei whale,sei_whale,25.0,2866.0,7852.40017778364,4986.40017778364,59.18317399617591,162.15281437870615,102.96964038253024,0.3649839456869015,36.091327808522976
Sei whale,sei_whale,28.0,2866.0,5751.17924531851,2885.17924531851,59.18317399617591,118.7624012417589,59.579227245583,0.4983325815019483,36.11436065920856
Sei whale,sei_whale,30.0,2866.0,4348.596649380349,1482.596649380349,59.18317399617591,89.79893654552154,30.615762549345636,0.6590631946534726,36.12970250579724
