species,param,mu,mu_star,sigma,n_ee
humpback,k_blub,0.09382589262833374,0.09382589262833374,0.01416217982509782,10
humpback,BCI,-0.07634442851897917,0.07634442851897917,0.006604177446646356,10
humpback,h,0.11776101872318664,0.11776101872318664,0.024452544139398166,10
humpback,omega_core,0.15224415496353821,0.15224415496353821,0.032371116228692424,10
humpback,cche,-0.018899790730173116,0.018899790730173116,0.004204783040125923,10
humpback,ava,0.3334683636118963,0.3334683636118963,0.04523211371227317,10
humpback,Ttn,-0.00022246269928919798,0.00022246269928919798,0.00011244176748299555,10
humpback,fmr,0.00270285252776592,0.00270285252776592,0.000573858209374727,10
fin_whale,k_blub,0.132924684130141,0.132924684130141,0.02209387217448525,10
fin_whale,BCI,-0.10599503602337339,0.10599503602337339,0.008971209902128277,10
fin_whale,h,0.11525430702404371,0.11525430702404371,0.0222104831818411,10
fin_whale,omega_core,0.12410481769068078,0.12410481769068078,0.025066006767725423,10
fin_whale,cche,-0.0057908768821134755,0.0057908768821134755,0.0014672770623228334,10
fin_whale,ava,0.2980419400954132,0.2980419400954132,0.047284134644043206,10
fin_whale,Ttn,-0.11409261165148354,0.11409261165148354,0.051273044422395095,10
fin_whale,fmr,0.0016676483376449152,0.0016676483376449152,0.0003925323018484223,10
bowhead,k_blub,0.13866975796725622,0.13866975796725622,0.02728451576901239,10
bowhead,BCI,-0.10882630198038849,0.10882630198038849,0.020429255658234252,10
bowhead,h,0.12717847056512593,0.12717847056512593,0.04147762758368836,10
bowhead,omega_core,0.018097406591426633,0.018097406591426633,0.004944477255273248,10
bowhead,cche,-0.010577681227276276,0.010577681227276276,0.0021042329655149915,10
bowhead,ava,0.4440608564088884,0.4440608564088884,0.07819363254282237,10
bowhead,Ttn,-0.6375380833009456,0.6375380833009456,0.03891021631764414,10
bowhead,fmr,0.0014778836410753726,0.0014778836410753726,0.000701464498020378,10
