species,param,S1,ST
humpback,k_blub,0.06091148845560953,0.061282979987507306
humpback,BCI,0.04064921167943851,0.041003376987561645
humpback,h,0.08522848153824022,0.0862483864771355
humpback,omega_core,0.12946943489500487,0.13166056844360033
humpback,cche,0.002703859781203182,0.002711786509663008
humpback,ava,0.6772984193420056,0.6805071759312614
humpback,Ttn,1.1474160152637987e-05,3.805121316583682e-05
humpback,fmr,7.085065036047721e-05,7.194809558795542e-05
fin_whale,k_blub,0.12353653041865596,0.12409245949824783
fin_whale,BCI,0.08186159842450597,0.08231575003456108
fin_whale,h,0.08067955665710164,0.08226103246840309
fin_whale,omega_core,0.08914185510642926,0.09071729432053724
fin_whale,cche,0.000185784226075631,0.0002917953897071095
fin_whale,ava,0.552288422575458,0.5557475249526846
fin_whale,Ttn,0.06794644286733273,0.06860765193131244
fin_whale,fmr,4.75193557442795e-05,9.878239307773966e-05
bowhead,k_blub,0.02840496917989981,0.03102174573668698
bowhead,BCI,0.01780588146624771,0.01862555947123459
bowhead,h,0.023362490533024232,0.02445412267739061
bowhead,omega_core,0.0006947634760990427,0.0008136955203148821
bowhead,cche,0.0006899888497535765,0.000995084470663382
bowhead,ava,0.29601911771124817,0.2989703380955941
bowhead,Ttn,0.6272081614506848,0.6305936678979712
bowhead,fmr,5.5036171781059076e-05,0.00035096943857332167
